,,key4/E
Year Released,acousticness,0.3243890943044179
Year Released,duration_ms,-0.5611735755508452
Year Released,popularity,0.33173490911351977
acousticness,loudness,-0.5379218814539539
acousticness,valence,-0.3067952473765337
danceability,explicit,0.31540533205471843
duration_ms,time_signature,-0.3740834149084154
energy,acousticness,-0.6965909272894566
loudness,energy,0.7927789697001513
loudness,valence,0.4778013360990205
popularity,duration_ms,-0.35065335911970064
valence,danceability,0.4196320221601602
valence,energy,0.5536838110831424
