,,key8/G#
Year Released,duration_ms,-0.32604322335138464
acousticness,energy,-0.4024173280318159
danceability,explicit,0.48076622570072847
danceability,loudness,0.3304611457566733
danceability,speechiness,0.453107559539313
danceability,time_signature,0.605052143600759
danceability,valence,0.3255974344424858
energy,instrumentalness,-0.45539045647917786
energy,tempo,0.3059870187786053
explicit,speechiness,0.4327076542764849
instrumentalness,danceability,-0.4872924476152119
instrumentalness,duration_ms,-0.3100223929181654
instrumentalness,valence,-0.3706365567165537
loudness,acousticness,-0.39774491287889013
loudness,energy,0.7466201604041119
loudness,instrumentalness,-0.7976517345380939
speechiness,mode,-0.40548447277388616
tempo,instrumentalness,-0.460716981948693
tempo,loudness,0.4816375376735651
tempo,valence,0.3348150918949859
time_signature,energy,0.4306068649397647
time_signature,instrumentalness,-0.7784638412317076
time_signature,loudness,0.6395455026088032
valence,energy,0.6136195383710387
valence,loudness,0.5651927833900512
