,,key7/G
acousticness,Year Released,0.32821562776885044
acousticness,energy,-0.40835784593518193
acousticness,instrumentalness,0.39610156847560674
energy,Year Released,-0.36972153907936134
energy,danceability,-0.40092865603366085
energy,explicit,-0.3289607721613375
energy,loudness,0.6576915003126053
instrumentalness,loudness,-0.3226145476224286
liveness,tempo,-0.49198638313141885
loudness,acousticness,-0.4914098771481298
popularity,Year Released,0.3800818707541189
speechiness,liveness,-0.3159136250206007
speechiness,time_signature,0.43652334134186077
tempo,popularity,-0.42308328793587235
tempo,speechiness,0.31328097837065544
valence,danceability,0.5775454718635831
valence,loudness,0.3576504179712246
valence,speechiness,-0.43148505931924325
