,,key8/G#
Year Released,duration_ms,-0.3137033845933058
acousticness,danceability,-0.36706227400342833
acousticness,energy,-0.4604361134953282
acousticness,loudness,-0.432836994316404
acousticness,time_signature,-0.31667287075246686
danceability,speechiness,0.5249203111855841
danceability,time_signature,0.6609431065166919
danceability,valence,0.37313011826845316
duration_ms,instrumentalness,-0.3972856945521787
duration_ms,loudness,0.3000140187823384
energy,instrumentalness,-0.5301601935605074
energy,loudness,0.7544615640700825
energy,tempo,0.32178694098221305
energy,valence,0.6647085610151915
explicit,danceability,0.5106530432377188
explicit,speechiness,0.49809134247842296
instrumentalness,acousticness,0.38181200968309176
instrumentalness,danceability,-0.5876192041322829
instrumentalness,time_signature,-0.8717145391783754
instrumentalness,valence,-0.4038926054441876
loudness,danceability,0.4500435885287351
loudness,instrumentalness,-0.8546871314637016
loudness,valence,0.6227480648564779
tempo,instrumentalness,-0.5125465304214849
tempo,loudness,0.5527683443722806
tempo,time_signature,0.33787757713703825
time_signature,duration_ms,0.3110861205656097
time_signature,energy,0.4872579091231337
time_signature,loudness,0.6955964868614853
time_signature,valence,0.3145364189561299
valence,tempo,0.3761648086673682
