,,key2/D
Year Released,liveness,-0.7587760020860075
danceability,duration_ms,-0.6020058563561949
danceability,explicit,0.5414768775338921
energy,liveness,0.5337027826422128
energy,valence,0.5149003177036788
explicit,loudness,-0.5524667655696853
explicit,speechiness,0.574420405872379
liveness,duration_ms,0.5879462785629029
loudness,energy,0.7176328906249279
popularity,energy,-0.512911892165367
popularity,liveness,-0.5680748098926874
popularity,tempo,0.5297941555233003
tempo,danceability,-0.9192489358006141
tempo,explicit,-0.5661166902645591
